"","county","NAME","sparent_m","sparent_f","hhage65a","hhsize","college_higher","disable","disable65a","fborn","fb_nonc","computer","broadband","lcp","ur","commute_p","commute_ms","wfh","eea_hhs","eea_lh","mincome","fstamp","hi_pub","hi_no","hi_no_neea","hi_no_nlc","poverty","rentalu","rental_size","mrent","mhomeprice","pop","mage","a85a","a7584","a6574","a6064","a5559","a4554","a3544","a2534","a2024","a1519","black","asian","aindian","latino","chci","sparent","a75a","a65a","a60a","a5564","a3554","a2034","afford"
"1","17051","Fayette County, Illinois",1.7,3.9,9.2,2.57,11.3,17.7,40.2,1.3,41.2,77.3,72.1,52.7,5.7,0.8,22.2,2.1,23.1,8.5,46650,17.1,47.1,8.2,32.8,14.6,12.8,19.5,2.4,612,88300,21565,41.9,2.2,6.4,10.2,6.5,7.7,13.2,12.2,12.5,6.4,5.7,4.7,0.5,0.3,1.9,127.9,5.6,8.6,18.8,25.3,14.2,25.4,18.9,0.528312570781427
"2","17107","Logan County, Illinois",0.6,3,9.6,2.31,19.9,15.2,35.4,1.6,54.7,86.7,77,54.6,5.6,0.4,21.9,4.9,24.6,6.4,57308,13,38,4.5,9.9,4.6,5.6,27.3,2.11,689,103200,29003,40.1,3.8,4.7,9.5,6.4,7.4,12.4,12.8,13.3,7.1,6.9,6.9,0.8,0.3,3.4,136.99,3.6,8.5,18,24.4,13.8,25.2,20.4,0.55531007751938
"3","17165","Saline County, Illinois",2.1,6.1,11,2.36,19.2,22.3,50.8,1,27.8,82.4,71.6,55.2,7.6,0.9,23.6,3.3,29.8,8.3,44090,25.7,53,4.2,15,4.7,17.9,25.5,2.18,622,73800,23994,42.2,3,5.9,11,7.5,6.8,13.3,11.2,12.6,5.1,5.8,2.6,0.7,0.2,1.8,136.5,8.2,8.9,19.9,27.4,14.3,24.5,17.7,0.597425474254743
"4","17097","Lake County, Illinois",1.1,4.9,6.9,2.78,45.3,9.1,29,18.7,49.7,94.2,89.8,67.3,5.2,4.4,30.4,6.9,19.4,8.5,89427,8.3,27.2,6.8,20.2,11.1,5.8,27,2.57,1197,265100,701473,38.4,1.8,3.8,8.2,6.3,7.2,14.4,12.6,11.1,7.2,7.8,6.8,7.7,0.3,21.7,157.88,6,5.6,13.8,20.1,13.5,27,18.3,0.337333081855903
"5","17127","Massac County, Illinois",0.8,4.6,10.1,2.39,13.9,20.7,45.1,1,63,73.5,67.4,51.6,4.4,0.3,23,3.2,20.1,10.6,47481,18.1,48.7,5.4,9.8,9,13.6,24.5,2.3,692,83600,14219,43.5,2.6,7.3,11,7.6,6.6,12.9,12.2,10.3,5.3,5.3,5.8,0.2,0,2.9,131.12,5.4,9.9,20.9,28.5,14.2,25.1,15.6,0.567954545454545
"6","17017","Cass County, Illinois",0.8,5.8,10.5,2.44,15.1,13,43.6,11.1,74.5,84.7,76.2,64.8,6.5,0.2,20.4,3,17.2,6.3,52373,13.3,40.1,5.5,29.5,10.4,10.7,25.4,2.47,598,80800,12493,40,2.1,5.8,9.3,5.9,7.2,13.4,11.7,12.5,5.2,6.5,5.2,0.4,0.2,18.9,130.01,6.6,7.9,17.2,23.1,13.1,25.1,17.7,0.648180693069307
"7","18069","Huntington County, Indiana",1.9,3.1,8.3,2.37,20.1,13.3,34.4,1.5,65.7,88.4,78.8,65,2.8,0.1,21.5,3.4,22.6,7.8,53632,8.5,30.1,7.8,32.5,11,7.6,24.5,2.23,703,107200,36359,40.7,2,5.4,9.4,7.2,7.6,13.2,11.9,12.1,6.7,6.7,1,0.7,0.4,2.5,137.92,5,7.4,16.8,24,14.8,25.1,18.8,0.500298507462687
"8","18181","White County, Indiana",0.7,3.2,7.8,2.41,16.4,16.6,38.5,4.2,71.1,89.5,81.2,61.5,4,0.2,25.5,4.2,19.5,5.7,54576,7.7,35.5,9.5,33.2,16.9,6,22.5,2.24,706,113500,24149,42,2.7,5.5,11.3,7.7,7.2,12.9,10.6,10.9,5.6,6.1,0.5,0.2,0.3,8.4,133.65,3.9,8.2,19.5,27.2,14.9,23.5,16.5,0.480845814977974
"9","18075","Jay County, Indiana",1.5,3.7,9.5,2.52,11.4,16.9,36.7,1.4,38.7,82.2,68.1,61.9,3.8,0.4,20.6,5.2,19.3,6.3,47658,10.1,40.6,8.9,40.8,13.5,8.1,27,2.48,677,91400,20840,39.7,2,5.5,9.9,7,6.3,13.4,10.9,10.9,6.4,6.9,0.4,0.8,0.1,3.1,129.12,5.2,7.5,17.4,24.4,13.3,24.3,17.3,0.521422319474836
"10","18145","Shelby County, Indiana",1.2,4.6,9,2.45,18.7,14.1,40.5,2.5,76.3,87.3,77.4,65.1,3.6,0.1,24.3,2.8,20.6,7.9,60404,9.3,32.8,6.9,43.5,12.4,7.4,26.7,2.42,801,133200,44438,40.8,2.4,4.7,9.6,6.9,7.9,14.2,11.7,12.3,5.5,6.2,1.2,0.6,0.1,4.2,134.51,5.8,7.1,16.7,23.6,14.8,25.9,17.8,0.453483483483483
