"","aindian","black","latino","asian","deathp","casep","chci","mincome","mhomeprice","mrent","sparent","cfr","poverty","p_gym","p_grocery","p_doctor","p_liquor","hi_no","hi_no_eea","prematured","poorhealth","unhealthyd","obesity","healthyfood","pinactivity","exerciseo","drinking","smoking","lowbirthw","pcdoctor"
"aindian",1,-0.106798852001302,-0.000613678070092222,-0.0403379591384379,0.0719930508857798,0.173205489256395,-0.0524406420004658,-0.0875725145737652,-0.0659230198502417,-0.0750569682629011,0.140785219914974,-0.0259658584252897,0.222435387754015,-0.0741118682189384,-0.0566570578964127,-0.0872291794278285,-0.061810368503797,0.326835908242291,-0.205582468387501,0.296771236092762,0.120659728525711,0.157502680660538,0.0773646988647251,-0.277749651917823,0.00230340489144327,-0.0450680768652141,-0.00742577889760588,0.254039800701202,-0.0727527559838546,-0.0095757870302601
"black",-0.106798852001302,1,-0.111132174438249,0.00161874153590794,0.19363010737774,-0.00402453932337938,-0.132964581320704,-0.266559601882744,-0.134518014988505,-0.0133549943800216,0.60275597729249,0.232756922332026,0.466715415089024,0.0162581033163397,0.00540599830759758,0.121837416403511,-0.0396723782145927,0.198647218718829,-0.263538596663822,0.36781726888774,0.475226734799322,0.295824459030765,0.323994141589378,-0.550124046397978,0.305043566126103,-0.218243054653692,-0.375554749719542,0.281453611398227,0.733274603914482,-0.0626726254021124
"latino",-0.000613678070092222,-0.111132174438249,1,0.182167771357385,-0.0387847938264397,-0.00446682198574584,-0.124983323882064,0.0808406357850923,0.157844632422812,0.248209911710628,0.191320210334371,-0.0392926271048256,0.096534925148482,0.0843785701590733,0.0441067127446367,0.0540256262871992,0.0387914833330067,0.37627842352123,-0.239528286025713,-0.175130533434883,0.201521903121206,-0.0297446839159615,-0.192350925186655,0.00826932444936249,-0.16721611512073,0.155374337824187,0.0398068035962706,-0.313472105512648,-0.0611638333285454,-0.00643055209420622
"asian",-0.0403379591384379,0.00161874153590794,0.182167771357385,1,-0.317644218490799,-0.0657951431679357,0.460323785262606,0.506149511013044,0.630633781072466,0.652155362455738,-0.0144948196450941,-0.230503332327335,-0.204986524044499,0.467755345625773,0.281944089264216,0.268549420328183,0.17319023827667,-0.13912301818612,0.178197439734309,-0.342114518498072,-0.228323489118551,-0.275650186737039,-0.34471517037316,0.168984038460042,-0.358228444352026,0.382401597650382,0.21701928896227,-0.353943964689439,-0.11595068539755,0.34827601492694
"deathp",0.0719930508857798,0.19363010737774,-0.0387847938264397,-0.317644218490799,1,0.168344767286671,-0.58556564630708,-0.555767431308117,-0.507181474313023,-0.533024204297052,0.236359151627763,0.74088415254711,0.496312063011771,-0.360274516593489,-0.266253907881244,-0.121744441396573,-0.197992904789961,0.271597324752886,-0.282998326328002,0.576774624476258,0.514282499290134,0.467727163534853,0.352816971179543,-0.354178031862878,0.503030831730053,-0.384246737168622,-0.471911406077897,0.45997689831049,0.372983355628461,-0.283871872067459
"casep",0.173205489256395,-0.00402453932337938,-0.00446682198574584,-0.0657951431679357,0.168344767286671,1,-0.156235326557635,-0.158455506118468,-0.153384352994439,-0.150212800526934,0.148391229826731,-0.338063814610397,0.207096803686716,-0.0415249672007101,-0.0903307590150093,0.021782366425202,-0.0121562713803664,-0.0514422614523477,0.0429917704144061,0.202345212450058,0.265765554328233,0.303918906912027,0.138791197282324,-0.126077236434623,0.168995021578704,-0.0456680049118688,-0.0691423920127057,0.309175528794874,0.143919375534477,-0.0381286514043419
"chci",-0.0524406420004658,-0.132964581320704,-0.124983323882064,0.460323785262606,-0.58556564630708,-0.156235326557635,1,0.71857790006819,0.665775522047978,0.664925143278265,-0.248572647437334,-0.41367254411145,-0.603305512134641,0.617412676232016,0.394428352259776,0.30551913231767,0.363752968253464,-0.420302959579563,0.389269995449919,-0.593624902649813,-0.661418122695027,-0.598504022724806,-0.543223662849576,0.357590772349422,-0.65574220963458,0.575840260830052,0.47770978458079,-0.560774396702466,-0.313081383488561,0.597926486783175
"mincome",-0.0875725145737652,-0.266559601882744,0.0808406357850923,0.506149511013044,-0.555767431308117,-0.158455506118468,0.71857790006819,1,0.742661119960655,0.794622626787792,-0.303836502451249,-0.387932406561401,-0.735383200640317,0.524024049936114,0.28799231941043,0.162484881319824,0.269328520283214,-0.329065438115333,0.322760881709747,-0.68366398179296,-0.699769027953697,-0.714936380192976,-0.470891827805615,0.616066736529623,-0.58348297628164,0.464921401023741,0.538147822739883,-0.657706689027362,-0.456815509476792,0.32967055979254
"mhomeprice",-0.0659230198502417,-0.134518014988505,0.157844632422812,0.630633781072466,-0.507181474313023,-0.153384352994439,0.665775522047978,0.742661119960655,1,0.858987137018073,-0.221738199166863,-0.341781319906976,-0.458618116890126,0.586785863999277,0.347740706085836,0.218972179583793,0.327688140379132,-0.218325156733574,0.272112840046372,-0.535245759318818,-0.47715750941538,-0.462026350145838,-0.570035274452214,0.393265336517952,-0.583761464217751,0.463595473335729,0.347862353134675,-0.559488969300969,-0.268096570300833,0.401217184715662
"mrent",-0.0750569682629011,-0.0133549943800216,0.248209911710628,0.652155362455738,-0.533024204297052,-0.150212800526934,0.664925143278265,0.794622626787792,0.858987137018073,1,-0.0703253834052318,-0.354675124510071,-0.440272636866537,0.614455039095645,0.406983270404881,0.29449574107967,0.336812902781331,-0.148461813582629,0.207148737308476,-0.507070364351082,-0.424532320441201,-0.464514659360742,-0.491262604853376,0.335032877190306,-0.527644407136972,0.517621369100513,0.352436940811865,-0.544025474949945,-0.1994852327139,0.380554894942797
"sparent",0.140785219914974,0.60275597729249,0.191320210334371,-0.0144948196450941,0.236359151627763,0.148391229826731,-0.248572647437334,-0.303836502451249,-0.221738199166863,-0.0703253834052318,1,0.172324738522771,0.598976301376624,-8.23475072371182e-05,0.00159273519004552,0.135320469303648,-0.0379559535849915,0.31342374852654,-0.277472458817661,0.391194133011622,0.545495817806908,0.376882041548694,0.332789780550025,-0.514468885275898,0.278791700139952,-0.0949067601783384,-0.279001336835697,0.358072578455404,0.525866474710745,-0.0410760387729504
"cfr",-0.0259658584252897,0.232756922332026,-0.0392926271048256,-0.230503332327335,0.74088415254711,-0.338063814610397,-0.41367254411145,-0.387932406561401,-0.341781319906976,-0.354675124510071,0.172324738522771,1,0.344862500732704,-0.263917519969733,-0.201451963319609,-0.116053891499464,-0.15588411152916,0.299924786816701,-0.305773175943382,0.373740796907441,0.308079507740001,0.214543500832836,0.227004504898162,-0.258984458392248,0.350550208964918,-0.311492176546143,-0.368137426232432,0.225368529128843,0.282397095468122,-0.221161386764743
"poverty",0.222435387754015,0.466715415089024,0.096534925148482,-0.204986524044499,0.496312063011771,0.207096803686716,-0.603305512134641,-0.735383200640317,-0.458618116890126,-0.440272636866537,0.598976301376624,0.344862500732704,1,-0.28125153142725,-0.180327807781928,-0.0335110540053024,-0.191700638520435,0.4308918704425,-0.357689294677783,0.701585391154697,0.841092178788693,0.768342840195279,0.420976000351808,-0.704328128438578,0.524008567017185,-0.37114069241233,-0.566818136613476,0.669026913151156,0.612787342521923,-0.26164981866735
"p_gym",-0.0741118682189384,0.0162581033163397,0.0843785701590733,0.467755345625773,-0.360274516593489,-0.0415249672007101,0.617412676232016,0.524024049936114,0.586785863999277,0.614455039095645,-8.23475072371182e-05,-0.263917519969733,-0.28125153142725,1,0.393187912366327,0.410041901302903,0.298923681865779,-0.19132448880674,0.214980659386973,-0.356767224448319,-0.305522253107612,-0.29916831084912,-0.403283538686255,0.2099583206433,-0.441039804260834,0.462745335982182,0.262257279095703,-0.349202065944936,-0.0874583527825289,0.454909333511251
"p_grocery",-0.0566570578964127,0.00540599830759758,0.0441067127446367,0.281944089264216,-0.266253907881244,-0.0903307590150093,0.394428352259776,0.28799231941043,0.347740706085836,0.406983270404881,0.00159273519004552,-0.201451963319609,-0.180327807781928,0.393187912366327,1,0.281809717662331,0.258072599880532,-0.140665850491707,0.171105994948115,-0.235618513647019,-0.240981771694213,-0.21447906589772,-0.248554148774775,0.162564760850366,-0.2837396227462,0.38323471477697,0.200990636395572,-0.241761328789019,-0.0742270048944734,0.345543714859864
"p_doctor",-0.0872291794278285,0.121837416403511,0.0540256262871992,0.268549420328183,-0.121744441396573,0.021782366425202,0.30551913231767,0.162484881319824,0.218972179583793,0.29449574107967,0.135320469303648,-0.116053891499464,-0.0335110540053024,0.410041901302903,0.281809717662331,1,0.188263745449089,-0.0700239287267408,0.0833833337273076,-0.0864870481542866,-0.0491050693063357,-0.0586577355479997,-0.166887394750994,0.00320768848615754,-0.161868944298747,0.299564667524991,0.0525836412106505,-0.0914415332872819,0.0775198751855111,0.413121021041789
"p_liquor",-0.061810368503797,-0.0396723782145927,0.0387914833330067,0.17319023827667,-0.197992904789961,-0.0121562713803664,0.363752968253464,0.269328520283214,0.327688140379132,0.336812902781331,-0.0379559535849915,-0.15588411152916,-0.191700638520435,0.298923681865779,0.258072599880532,0.188263745449089,1,-0.162402085391604,0.198690362633967,-0.208670348609074,-0.212030775401278,-0.204862874372201,-0.258697423310389,0.146482506550731,-0.259903143396132,0.308230083076891,0.197228164257483,-0.201270366232684,-0.0709002286828768,0.26927508469228
