"","county","name","statename","stateid","case","death","case0520","death0520","population","area","NAME","sparent_m","sparent_f","hhage65a","hhsize","college_higher","disable","disable65a","fborn","fb_nonc","computer","broadband","lcp","ur","commute_p","commute_ms","wfh","eea_hhs","eea_lh","mincome","fstamp","hi_pub","hi_no","hi_no_neea","hi_no_nlc","poverty","rentalu","rental_size","mrent","mhomeprice","pop","mage","a85a","a7584","a6574","a6064","a5559","a4554","a3544","a2534","a2024","a1519","black","asian","aindian","latino","chci","sparent","a75a","a65a","a60a","a5564","a3554","a2034","afford","pdensity","casep","deathp","casep520","deathp520","candidatevotes","totalvotes","demv","doctor","gym","grocery","nursehome","meatpack","liquor","airport","travel","cfr","p_doctor","p_gym","p_grocery","p_nursehome","p_meatpack","p_liquor","p_airport","p_travel","hi_no_eea","prematured","poorhealth","unhealthyd","obesity","healthyfood","pinactivity","exerciseo","drinking","smoking","lowbirthw","pcdoctor","hosp","vcrime"
"1",1001,"Autauga County ","AL",1,18961,230,18961,230,55869,596.01,"Autauga County, Alabama",1.3,5.4,7.3,2.56,26.6,19,47.9,2.3,42.3,89.2,80.6,57.9,3.7,0.7,24.4,3.4,20.2,8.8,58731,12.8,35.3,7.1,33.5,16.4,12.3,26.7,2.48,986,154500,55380,38.2,1.6,4.7,8.7,4.9,7.7,14,13.2,12.7,6.4,6.9,19,1,0.3,2.8,143.07,6.7,6.3,15,19.9,12.6,27.2,19.1,0.380135922330097,93.7383600946293,33.9383199985681,4116.77316579856,33.9383199985681,4116.77316579856,5936,24973,23.7696712449445,0,0,0,0,0,0,0,0,121.301619112916,0,0,0,0,0,0,0,0,50.1,8128.5911903,20.882987328,4.7438888672,33.3,7.2,34.7,69.130124059,15.026031257,18.08155718,8.6195286195,45.0418,7108,272.28222006
"2",1003,"Baldwin County ","AL",1,67496,719,67496,719,223234,1596.53,"Baldwin County, Alabama",1,3.9,8.5,2.59,31.9,14.2,33.2,3.7,53.9,90.9,81.8,57.6,4.3,0,26.9,6.5,20.3,10,58320,7.7,36.6,8.9,34.1,14.3,6.9,24.8,2.44,1020,197900,212830,43,1.9,6,12.1,7.2,7.1,13.3,12.1,11.2,5.1,6,9.3,0.9,0.8,4.6,147.53,4.9,7.9,20,27.2,14.3,25.4,16.3,0.294694290045478,139.82449437217,30.2355375973194,3220.83553580548,30.2355375973194,3220.83553580548,18458,95215,19.3856010082445,1731,363,0,850,0,83,0,2522,106.524831101102,0.77541951494844,0.162609638316744,0,0.380766370714139,0,0.0371807161991453,0,1.12975621993066,51.6,7354.1225298,17.50913436,4.2245192015,31,8,26.5,73.713548953,17.958310103,17.489032597,8.3450031827,72.89727,4041,203.66039629
"3",1005,"Barbour County ","AL",1,7027,103,7027,103,24686,885,"Barbour County, Alabama",1,9.4,10.2,2.41,11.6,21.4,45.8,2.7,51.4,77.2,60.5,44.9,9.2,0.3,22.4,1.5,18.3,6.1,32525,26.8,51.5,11.3,42.6,22.1,23.7,39.1,2.46,576,90700,25361,40.4,1.6,5.8,11.2,6.5,6.4,13.1,12,14.4,6.3,5.6,47.6,0.5,0.3,4.4,123.43,10.4,7.4,18.6,25.1,12.9,25.1,20.7,0.358599779492834,27.8937853107345,28.4655270193632,4172.4054119744,28.4655270193632,4172.4054119744,4871,10469,46.5278441111854,55,0,144,0,0,0,0,81,146.577486836488,0.222798347241351,0,0.583326581868265,0,0,0,0,0.328121202300899,35.3,10253.573403,29.591801708,5.4302788594,41.7,5.6,23.5,53.166769858,12.844015554,21.999984528,11.474558671,31.65809,6209,414.27786068
"4",1007,"Bibb County ","AL",1,7692,108,7692,108,22394,622.36,"Bibb County, Alabama",1.7,4.4,8.1,2.99,10.4,17.2,36.1,1.5,58.8,78.1,69.2,48.9,7.3,0,29.7,3.1,21.3,4.7,47542,16.2,40.6,10.7,48.5,17.8,15,25.6,2.76,734,92800,22493,40.9,2,4.6,9.3,6.5,6.3,15.6,12.9,14.6,5.6,6.2,22.3,0.1,0.1,2.6,124.63,6.1,6.6,15.9,22.4,12.8,28.5,20.2,0.512306034482759,35.9823896137284,34.3484862016612,4822.72037152809,34.3484862016612,4822.72037152809,1874,8819,21.2495747817213,0,0,83,0,0,0,0,0,140.405616224649,0,0,0.370634991515585,0,0,0,0,0,33.7,11977.539484,19.439724157,4.5914824378,37.6,7.8,33.5,16.251363736,15.570042367,19.114199885,10.308710033,48.52656,5961,89.349125982
"5",1009,"Blount County ","AL",1,17731,260,17731,260,57826,645.68,"Blount County, Alabama",1.8,3.9,7.7,2.74,13.1,14.1,36.1,4.5,63.1,81,73,49.4,3.4,0.1,34.4,1.5,21.2,4.6,49358,9.5,34.1,10.8,41.9,20.7,9.6,21.2,2.37,667,127800,57681,40.7,1.8,5.5,10.6,6.6,6.7,13.3,12.6,11.9,5.6,6.3,1.6,0.4,0.1,9.3,127.34,5.7,7.3,17.9,24.5,13.3,25.9,17.5,0.386212832550861,89.5582951307149,30.6626776882371,4496.24736277799,30.6626776882371,4496.24736277799,2156,25588,8.42582460528373,97,0,0,0,0,0,0,0,146.635835542271,0.167744613149794,0,0,0,0,0,0,0,37.4,11335.071134,21.745292814,4.8608076303,33.8,8.4,30.3,15.634485887,14.230593827,19.20867197,7.6045627376,22.40877,4060,482.69061089
"6",1011,"Bullock County ","AL",1,2886,54,2886,54,10101,625.07,"Bullock County, Alabama",8.5,11.6,8.1,2.79,12.1,12,31.9,0.7,0,77.3,60.1,53.6,3.9,0,27.2,1.9,15.5,7.6,37785,22.5,45.7,11.4,15,21.2,25.7,28.9,3.05,654,70300,10248,40.2,1.7,4.4,10,7.5,6.6,13.3,13.5,12.4,5.8,7.9,74.8,0.5,0,2.6,125.22,20.1,6.1,16.1,23.6,14.1,26.8,18.2,0.537482219061166,16.1597901035084,28.5714285714286,5346.00534600535,28.5714285714286,5346.00534600535,3530,4710,74.9469214437367,22,0,0,0,0,0,0,0,187.110187110187,0.217800217800218,0,0,0,0,0,0,0,63.8,11679.558981,30.999101851,5.3591593432,37.2,4.3,24.6,2.5013743815,12.094101229,22.894664011,15.688487585,29.10079,6632,311.0273327
"7",1013,"Butler County ","AL",1,6185,130,6185,130,19448,776.94,"Butler County, Alabama",0.6,6.9,9.7,3,16.1,16.5,37.8,0.8,49,73.3,64.6,53.7,6.8,0.2,23.7,1.2,20.4,10.4,40688,16.6,44,8.7,42,13.9,15.6,30,2.9,620,95900,19828,40.8,2.6,5.5,11.5,7.1,7.1,11.2,12.8,11.8,5.5,6.4,45.4,0.3,0.1,1.4,131.67,7.5,8.1,19.6,26.7,14.2,24,17.3,0.424275286757039,25.0315339665869,31.802756067462,6684.49197860963,31.802756067462,6684.49197860963,3726,8732,42.6706367384334,93,0,0,0,0,0,0,87,210.18593371059,0.478198272315919,0,0,0,0,0,0,0.447346770876183,44.1,14359.939103,27.910673184,5.4008061965,43.3,6.6,39.5,48.57974889,11.85740343,21.765334963,12.680288462,25.22068,9203,581.58400519
"8",1015,"Calhoun County ","AL",1,39458,665,39458,665,113605,608.5,"Calhoun County, Alabama",0.7,6.5,8.2,2.5,18.5,21.2,46,2.7,50.1,85.7,75.1,56.1,8.1,0.4,25,2.5,21.7,8.4,47255,17.2,41,9.5,45.8,15.9,13.3,29.9,2.54,716,118000,114618,39.6,1.8,5.2,10.2,6.9,7,12.7,11.9,13.2,6.4,6.8,20.8,0.9,0.3,3.8,134.69,7.2,7,17.2,24.1,13.9,24.6,19.6,0.400466101694915,186.696795398521,34.7326262048325,5853.61559790502,34.7326262048325,5853.61559790502,13242,47864,27.6658866789236,0,134,0,590,0,0,0,0,168.53363069593,0,0.117952554905154,0,0.519343338761498,0,0,0,0,38.3,12078.616145,23.107733221,4.8803767403,38.5,6.9,31.7,47.721215801,13.842230147,20.612560375,9.1613736678,63.62876,6581,756.06654427
"9",1017,"Chambers County ","AL",1,10311,170,10311,170,33254,597.4,"Chambers County, Alabama",1.2,5.3,8.9,2.46,13.3,18.1,40.3,1.8,78.2,79.4,69.4,56.5,3.9,0.3,23.7,2,18.2,5.7,42289,15.5,41.4,10.3,47.6,21.3,12.9,32.5,2.43,749,97100,33660,42,1.9,5.5,11.8,6.5,7.8,13.5,11.4,12.3,6.5,5.4,39.6,1.1,0.3,2.4,128.14,6.5,7.4,19.2,25.7,14.3,24.9,18.8,0.435520082389289,55.6645463675929,31.0067961748963,5112.16695735851,31.0067961748963,5112.16695735851,5784,13900,41.6115107913669,62,0,219,250,0,0,0,0,164.872466298128,0.186443736091899,0,0.658567390389126,0.751789258435075,0,0,0,0,31.1,11112.536614,23.995473603,4.9411783568,40.1,6.4,30.1,61.864679234,12.745734617,19.392927053,12.213740458,41.52701,5622,528.99973623
"10",1019,"Cherokee County ","AL",1,6456,89,6456,89,26196,553.17,"Cherokee County, Alabama",0.9,2.5,9.3,2.39,12.8,17.8,36.5,0.9,36,81.4,70.7,48.8,4.4,0.2,29.5,1.6,23.8,6.9,41919,16.4,43.8,8.6,48.4,13.6,11.8,22.7,2.21,620,123400,25903,46.5,2,6.9,13.6,7.7,7.8,14.2,11.1,9.6,5,6.2,4.6,0.2,1.1,1.6,127.95,3.4,8.9,22.5,30.2,15.5,25.3,14.6,0.339700162074554,47.3561472964911,24.6449839670179,3397.46526187204,24.6449839670179,3397.46526187204,1547,10733,14.4134911022081,93,0,0,0,0,0,0,0,137.856257744734,0.355016032982135,0,0,0,0,0,0,0,38,12349.707594,20.698470599,4.7756141014,35,8.3,31.3,33.429527877,14.106562852,17.498673785,8.2725060827,38.67425,5521,330.43879198
"11",1021,"Chilton County ","AL",1,12596,216,12596,216,44428,694.06,"Chilton County, Alabama",1,6.5,8.2,2.58,12.7,19.4,40,4.6,68.2,80.1,68.7,53.8,6.4,0,32.1,2.3,16,4.7,47468,17.3,38.7,13,39.6,21.6,15.4,25.5,2.55,726,107300,44055,38.7,1.4,5.2,9.4,6.4,6.7,12.7,13.3,13.1,5.6,6.6,9.2,0.4,0.8,7.8,127.45,7.5,6.6,16,22.4,13.1,26,18.7,0.442385834109972,64.0117569086246,28.351490051319,4861.79886558026,28.351490051319,4861.79886558026,2911,18369,15.8473515161413,119,0,0,0,0,12,0,0,171.483010479517,0.267849104168542,0,0,0,0,0.0270099936976681,0,0,38.8,10019.3128,21.185462911,4.7733822963,37.7,8.1,33.2,46.293792819,14.509374576,20.188979064,8.6979166667,20.42345,6148,507.81072095
"12",1023,"Choctaw County ","AL",1,2204,39,2204,39,12589,913.58,"Choctaw County, Alabama",0.4,6.5,8,2.4,11.9,26.7,51.7,0.6,43.9,76.3,61.3,42.4,7.9,0,34.5,1.9,23.8,5.8,35892,22.8,49.1,10.3,62.5,19.6,18.4,19.1,2.41,525,74100,12925,46.3,2.3,7.4,12.8,7.4,7.9,13.5,11,9.9,5,6.5,42.6,0.1,0.1,0.4,128.15,6.9,9.7,22.5,29.9,15.3,24.5,14.9,0.484372469635628,13.7798550756365,17.5073476844865,3097.94264834379,17.5073476844865,3097.94264834379,3109,7292,42.6357652221613,34,0,0,0,0,0,0,14,176.950998185118,0.270077051394074,0,0,0,0,0,0,0.111208197632854,17.9,12479.822147,24.863531285,4.9332046304,41.3,6.4,36.2,28.934266542,11.642290616,18.79324829,11.018711019,38.62495,4968,128.41466262
"13",1025,"Clarke County ","AL",1,8184,107,8184,107,23622,1238.47,"Clarke County, Alabama",2.1,4.8,9.1,2.61,12.2,18.2,41.5,0.2,24.6,70.3,57.5,45.3,12.2,0,26.6,1,19.6,4.9,37404,17.4,46.8,9.7,44.4,16.7,17.4,29.9,2.03,555,112500,24128,42.5,2.4,6.3,10.7,6.6,7.6,13.3,11.8,10.8,6.2,6.6,45.8,0.4,0.1,0.3,127.52,6.9,8.7,19.4,26,14.2,25.1,17,0.33248,19.0735342802006,34.6456692913386,4529.67572601812,34.6456692913386,4529.67572601812,5749,13031,44.1178727649451,66,0,112,0,0,0,0,77,130.742913000977,0.279400558801118,0,0.474134281601897,0,0,0,0,0.325967318601304,38.9,11144.037371,25.23508481,5.127337236,34.1,5.4,34.6,25.270003484,11.869010519,20.579655316,13.108038914,53.97999,6299,475.31243598
"14",1027,"Clay County ","AL",1,4941,90,4941,90,13235,605.12,"Clay County, Alabama",1.7,8.6,8,2.52,10.6,17.4,41.7,2,67.8,81.2,70.1,53.9,5.4,0,29.1,4.4,18.5,7.1,40845,12.5,44.6,10.3,28.1,16.1,14.7,24.5,2.32,535,107800,13337,43.3,2.1,6.5,11.5,6.4,8.4,13.1,11.6,11.3,5.2,6.4,15.6,0.2,0.3,3.1,123.24,10.3,8.6,20.1,26.5,14.8,24.7,16.5,0.378896103896104,21.8716948704389,37.332829618436,6800.15111446921,37.332829618436,6800.15111446921,1237,6624,18.6745169082126,54,0,108,0,0,0,0,0,182.149362477231,0.408009066868153,0,0.816018133736305,0,0,0,0,0,55.8,10461.83432,23.795917414,4.9589695308,40.6,7.8,32.6,63.781223084,13.286503658,19.620354153,9.3561368209,37.40555,5249,309.06721281
"15",1029,"Cleburne County ","AL",1,4222,71,4222,71,14910,560.2,"Cleburne County, Alabama",0.3,2.7,10.8,2.6,15.4,21.9,43.2,1.6,62.2,81.4,64.3,50.8,5.9,0,34,3.4,20.1,5.9,44741,14.8,39.7,12.3,67.7,22.8,10.2,23.9,2.54,585,116500,14916,43.1,3,5,11.4,6.5,6.6,14.3,11.6,11.8,5.1,5.9,2.7,0,0.1,2.5,128.53,3,8,19.4,25.9,13.1,25.9,16.9,0.384042918454936,26.615494466262,28.3165660630449,4761.90476190476,28.3165660630449,4761.90476190476,684,6593,10.3746397694525,25,0,0,0,0,0,0,0,168.16674561819,0.16767270288397,0,0,0,0,0,0,0,9.5,11087.984454,19.284407812,4.546700394,37.3,8,31.3,41.48410366,14.462966516,18.374465772,8.5209003215,26.84564,6416,103.33333333
"16",1031,"Coffee County ","AL",1,16328,243,16328,243,52342,679.19,"Coffee County, Alabama",1.7,7.7,7.4,2.56,22.8,17.8,42.7,4,54.2,87.6,80,57,5.7,0,22.7,2.5,25,7.3,55637,12.9,37.3,9.8,28.8,19.6,12,34.3,2.56,803,147400,51662,39.3,1.7,5.2,9.6,5.7,7,13.4,12.9,12.8,5.8,6.2,16.9,1.4,1.2,7.3,138.66,9.4,6.9,16.5,22.2,12.7,26.3,18.6,0.377455902306649,77.0653278169584,31.1948339765389,4642.54327308853,31.1948339765389,4642.54327308853,4221,20767,20.3255164443588,0,0,275,0,0,0,0,128,148.824105830475,0,0,0.525390699629361,0,0,0,0,0.24454548928203,51.6,8175.3623921,19.425826811,4.4201197865,34.2,7.5,30.8,53.723872828,15.183294249,17.444757594,8.3085374228,53.97694,4863,276.20804419
"17",1033,"Colbert County ","AL",1,20165,275,20165,275,55241,594.58,"Colbert County, Alabama",1,5.4,9.6,2.48,18.1,18.5,40.9,1.9,61.5,81.2,70.1,53.6,4.4,0.1,23.4,2.4,21.2,8.8,48065,13,38,7.2,34.3,12.4,11.8,27.8,2.31,697,120800,54771,42.4,2.2,6.2,11.1,7.3,6.9,13.4,12.1,12,5.8,5.7,16.2,0.5,0.6,2.8,133.87,6.4,8.4,19.5,26.8,14.2,25.5,17.8,0.397889072847682,92.9075986410575,36.503683858004,4978.18649191724,36.503683858004,4978.18649191724,7312,24915,29.3477824603652,0,35,0,0,0,17,0,88,136.374907017109,0,0.0633587371698557,0,0,0,0.0307742437682156,0,0.159301967741352,53.3,10644.992124,20.914454347,4.6086376267,30.6,7.4,36.6,55.732343647,14.697592905,18.658821061,10.226746876,64.22018,6414,400.00735646
"18",1035,"Conecuh County ","AL",1,3410,75,3410,75,12067,850.87,"Conecuh County, Alabama",0.6,8.7,8.2,2.71,12.8,22.4,51.8,0.9,19.8,61.5,52.7,46.2,9.2,0.2,27.9,1.3,15.2,5.4,37837,13.7,44.6,12.7,52.1,21.5,12.7,23.9,2.45,536,81000,12394,44.8,2.5,5.8,13.8,8.8,6.4,12.4,10.6,10.8,4.5,7,47.8,0.5,0.2,0.7,128.51,9.3,8.3,22.1,30.9,15.2,23,15.3,0.467123456790123,14.1819549402376,28.2588878760255,6215.29791994696,28.2588878760255,6215.29791994696,3080,6585,46.7729688686409,48,0,0,0,0,0,0,37,219.941348973607,0.397779066876606,0,0,0,0,0,0,0.306621364050717,26.4,10822.452428,28.608747789,5.4337528108,43,5.6,40.7,37.019957666,12.042707635,21.107512965,14.064115822,40.09945,12070,387.40920097
"19",1037,"Coosa County ","AL",1,3643,62,3643,62,10663,652.49,"Coosa County, Alabama",0,3.6,10.1,2.57,12.8,22.9,46.1,0.5,92.5,80.7,69.5,47.3,2.9,0,28.8,4.8,21.8,6.9,38990,11.1,46,8,36.7,9.9,8.1,20.8,2.28,589,84000,10757,48.4,2.3,7.6,12.8,7,10.6,14.4,12,10.1,4.2,5.3,33.6,0,0.1,1,127.53,3.6,9.9,22.7,29.7,17.6,26.4,14.3,0.464166666666667,16.3420129044123,34.1648691737785,5814.49873393979,34.1648691737785,5814.49873393979,1782,5252,33.9299314546839,0,0,0,0,0,0,0,0,170.189404337085,0,0,0,0,0,0,0,0,53.4,12691.204176,24.919103283,5.0890163223,40.3,6.9,35.3,6.4217003207,12.670540333,20.399965623,13.692307692,NA,4956,254.8321954
"20",1039,"Covington County ","AL",1,11250,256,11250,256,37049,1034.73,"Covington County, Alabama",0.6,6.5,9.8,2.46,15.3,21.1,45.6,0.8,48.1,78.6,70.7,54,8.4,0,25,1.4,19,6,42189,15,39.9,11.1,64.8,16.5,14,25.5,2.34,612,97600,37200,43.3,2.2,7.1,11.5,7.6,7,12.8,10.9,11.7,5.4,5.8,13.5,0.5,0.1,1.7,130.75,7.1,9.3,20.8,28.4,14.6,23.7,17.1,0.432264344262295,35.8054758246112,30.3651920429701,6909.7681448892,30.3651920429701,6909.7681448892,2387,15940,14.9749058971142,228,8,0,0,0,0,0,0,227.555555555556,0.615401225404194,0.0215930254527788,0,0,0,0,0,0,18.7,11418.122816,22.668806251,4.6819404519,31.7,7.6,35.5,50.234343969,13.500302181,19.249451541,10.345942451,51.22398,9181,331.12142449
"21",1041,"Crenshaw County ","AL",1,4516,108,4516,108,13772,609.62,"Crenshaw County, Alabama",1.1,6,9.9,2.77,17.4,20.5,43.6,1.4,64.6,76.8,65.1,52.8,3.4,0.8,29.9,4.9,17.9,3.6,43163,15.5,41.9,8.7,26.1,15,8.9,24.5,2.85,537,81000,13844,41.7,1.9,5.4,11.5,7.5,7.2,13,11.4,12.1,5.5,6,23.3,1.3,0.7,0.8,128.89,7.1,7.3,18.8,26.3,14.7,24.4,17.6,0.532876543209877,22.591122338506,32.791170490851,7841.99825733372,32.791170490851,7841.99825733372,1664,6267,26.5517791606829,25,0,0,0,0,0,0,0,239.149689991143,0.181527737438281,0,0,0,0,0,0,0,58.9,9944.64447,22.146936238,4.7414560381,38,6.2,33.5,22.35006472,14.617009895,18.646929565,10.087293889,14.41857,7057,331.90736097
